date,target_logvar
2016-10-03,-11.209109306483953
2016-10-04,-11.080485845797165
2016-10-05,-11.08797140852366
2016-10-06,-8.353077163209102
2016-10-07,-8.13301886974094
2016-10-08,-8.11789346600211
2016-10-09,-8.2141073447642
2016-10-10,-8.140193010575645
2016-10-11,-10.417117589282997
2016-10-12,-10.927540442697275
2016-10-13,-10.839092700756913
2016-10-14,-10.29061581733806
2016-10-15,-10.21373138730728
2016-10-16,-10.36126133264512
2016-10-17,-7.902382524428861
2016-10-18,-7.917624514056164
2016-10-19,-8.065068165958655
2016-10-20,-8.105882972433987
2016-10-21,-7.856505579808222
2016-10-22,-8.476620849285597
2016-10-23,-8.525901967465526
2016-10-24,-8.374986876929047
2016-10-25,-7.6333822976048
2016-10-26,-7.822271528083797
2016-10-27,-7.346050502840775
2016-10-28,-7.39644141567529
2016-10-29,-6.3530956976198505
2016-10-30,-6.304658076325585
2016-10-31,-6.305412208069349
2016-11-01,-6.560927377649644
2016-11-02,-6.648645204956189
2016-11-03,-8.770868527935058
2016-11-04,-8.87577513385959
2016-11-05,-8.55013827986702
2016-11-06,-8.659783873267097
2016-11-07,-8.499463514243908
2016-11-08,-8.62186425705825
2016-11-09,-9.584013482021831
2016-11-10,-9.284677069120207
2016-11-11,-7.522486358437836
2016-11-12,-7.749962562322052
2016-11-13,-7.913917415637767
2016-11-14,-7.8507449792303525
2016-11-15,-7.226368954878207
2016-11-16,-8.204945780078805
2016-11-17,-8.02607386281064
2016-11-18,-8.103093518959763
2016-11-19,-8.09788756654
2016-11-20,-9.051455915594133
2016-11-21,-9.088427794160662
2016-11-22,-10.881262175398605
2016-11-23,-10.351185504614921
2016-11-24,-10.462595225996417
2016-11-25,-9.495815056633132
2016-11-26,-9.53415102823963
2016-11-27,-9.062785760736991
2016-11-28,-8.497667339788611
2016-11-29,-8.57799074929427
2016-11-30,-7.949452259096484
2016-12-01,-8.041962089964844
2016-12-02,-8.94544828803185
2016-12-03,-9.01122552663991
2016-12-04,-9.023686631530149
2016-12-05,-12.383422785895187
2016-12-06,-10.812084259680876
2016-12-07,-9.916269086004448
2016-12-08,-9.893706989762459
2016-12-09,-9.886610339002836
2016-12-10,-9.730160628383699
2016-12-11,-9.897759894695096
2016-12-12,-10.443442771333531
2016-12-13,-10.401628635827084
2016-12-14,-10.420992798164967
2016-12-15,-10.826324420582191
2016-12-16,-8.16012563322327
2016-12-17,-7.871925853559028
2016-12-18,-7.329500216479803
2016-12-19,-6.715459146594851
2016-12-20,-6.607341961042282
2016-12-21,-6.683667163418602
2016-12-22,-6.735185883991958
2016-12-23,-7.19385457028628
2016-12-24,-7.736679850939846
2016-12-25,-7.509493157119767
2016-12-26,-7.458621069008494
2016-12-27,-7.339483271722982
2016-12-28,-7.842809391951667
2016-12-29,-7.913323172685796
2016-12-30,-6.438914967806504
2016-12-31,-4.971334223754079
2017-01-01,-4.6559847727585915
2017-01-02,-4.684909368152427
2017-01-03,-4.719564968259211
2017-01-04,-5.493211639510628
2017-01-05,-5.985208495417351
2017-01-06,-5.466376907723963
2017-01-07,-5.327017219810588
2017-01-08,-5.258199702898033
2017-01-09,-5.256000749932799
2017-01-10,-5.25861780882818
2017-01-11,-8.234624298264192
2017-01-12,-6.487082074062973
2017-01-13,-6.21559960400851
2017-01-14,-6.2910936344229285
